"priority","status","iam_prefix","service","reviewed_on","evidence","notes"
"P0","queued","account","AWS Account Management","","",""
"P0","blocked","account-access","Account access manager","2026-09-08","","Management-account lab has no IAM Identity Center instance; enabling the organization-wide prerequisite solely for this test would exceed safe reversible scope."
"P0","queued","acm","AWS Certificate Manager","","",""
"P0","queued","acm-pca","AWS Private Certificate Authority","","",""
"P0","queued","apigateway","Amazon API Gateway Management / Amazon API Gateway Management V2","","",""
"P0","queued","appstream","Amazon AppStream 2.0","","",""
"P0","queued","athena","Amazon Athena","","",""
"P0","queued","autoscaling","Amazon EC2 Auto Scaling","","",""
"P0","validated","backup","AWS Backup","2026-09-08","HackTricks: aws-backup-post-exploitation","Validated restore plus PassRole, vault-policy self-grant and deletion, and direct S3 recovery-point reads through Backup Access Points."
"P0","queued","batch","AWS Batch","","",""
"P0","queued","bedrock","Amazon Bedrock","","",""
"P0","queued","bedrock-agentcore","Amazon Bedrock Agentcore","","",""
"P0","queued","cloudformation","AWS Cloud Control API / AWS CloudFormation","","",""
"P0","queued","cloudtrail","AWS CloudTrail","","",""
"P0","queued","codebuild","AWS CodeBuild","","",""
"P0","queued","codecommit","AWS CodeCommit","","",""
"P0","queued","codeconnections","AWS CodeConnections","","",""
"P0","validated","codedeploy","AWS CodeDeploy","2026-09-08","CreateDeployment + enforced GetDeploymentConfig and RegisterApplicationRevision dependencies deployed an attacker-controlled S3 revision to an existing EC2 group; its hook ran as root under the target instance profile without caller iam:PassRole.","Caller was denied Organizations access but read hook output containing uid=0, the instance-role ARN, and organization metadata. Removing each required action denied the request. Requires revision-source control, a reachable group target with the agent, and a useful instance profile or host privilege."
"P0","queued","codepipeline","AWS CodePipeline","","",""
"P0","queued","cognito-identity","Amazon Cognito Identity","","",""
"P0","queued","cognito-idp","Amazon Cognito User Pools","","",""
"P0","queued","config","AWS Config","","",""
"P0","queued","connect","Amazon Connect","","",""
"P0","queued","controltower","AWS Control Tower","","",""
"P0","queued","dynamodb","Amazon DynamoDB","","",""
"P0","queued","ec2","Amazon EC2","","",""
"P0","queued","ec2messages","Amazon Message Delivery Service","","",""
"P0","queued","ecs","Amazon Elastic Container Service","","",""
"P0","queued","eks","Amazon Elastic Kubernetes Service","","",""
"P0","queued","eks-auth","Amazon EKS Auth","","",""
"P0","queued","elasticloadbalancing","AWS Elastic Load Balancing / AWS Elastic Load Balancing V2","","",""
"P0","queued","es","Amazon OpenSearch Service","","",""
"P0","queued","events","Amazon EventBridge","","",""
"P0","queued","execute-api","Amazon API Gateway","","",""
"P0","queued","fsx","Amazon FSx","","",""
"P0","queued","glue","AWS Glue","","",""
"P0","queued","iam","AWS Identity and Access Management (IAM)","","",""
"P0","queued","identitystore","AWS Identity Store","","",""
"P0","queued","kms","AWS Key Management Service","","",""
"P0","queued","lambda","AWS Lambda","","",""
"P0","queued","opensearch","Amazon OpenSearch","","",""
"P0","queued","organizations","AWS Organizations","","",""
"P0","queued","pipes","Amazon EventBridge Pipes","","",""
